Metric,Uncalibrated,Calibrated,Improvement,% Change
AUC-ROC,0.8586362558038908,0.8559598040373845,-0.002676451766506327,-0.31170961491726457
PR-AUC,0.36506019570859105,0.36278167301962977,-0.002278522688961282,-0.6241498568581578
F1,0.4368017820378683,0.0014249073810202336,-0.43537687465684805,-99.67378627111538
Brier Score,0.16996661877074778,0.08701391127337445,-0.08295270749737334,-48.80529370844316
Log Loss,0.45874530043962863,0.26906666692251446,-0.18967863351711417,-41.34726466632787
