Model,AUC-ROC,PR-AUC,F1,Precision,Recall
LightGBM Baseline,0.858583,0.364858,0.435652,0.28449744463373083,0.9294990723562152
LightGBM Tuned,0.8586362700298107,0.36506025752169513,0.4368017820378683,0.2860489788701264,0.9235050663622092
