Model,AUC-ROC,PR-AUC,F1,Precision,Recall,Train Time (s)
XGBoost,0.8585598085555365,0.3644823691578784,0.4374157908919429,0.28627485560601384,0.9266447837876409,0.5022730827331543
LightGBM,0.8585826383117907,0.3648576851681769,0.4356521739130435,0.28449744463373083,0.9294990723562152,0.7489430904388428
RandomForest,0.8552838082400624,0.3624068084501725,0.4318875182384932,0.2813080478638386,0.9293563579277865,3.760922908782959
